SystemID,InstallationDate,SystemSize,TotalInstalledPrice,SalesTaxCost,RebateOrGrant,PerformanceBasedIncentiveAnnualPayment,PerformanceBasedIncentivesDuration,CustomerSegment,ZipCode,State,ModuleEfficiency
TX_CPS_2087,1/12/2015,6.87,29124.75,688.0052263,9823.23,0,0,RES,78209,TX,0.200613497
CA-NEM-636051,11/14/2017,7.8,26250,724.3610061,0,0,0,RES,92065,CA,0.18404908
IL_DCEO_1434,6/9/2015,16.2,40500,1648.44965,-9999,0,0,-9999,-9999,IL,-9999
CT_CGB_11489,6/3/2015,6.76,18627.91,0,0,0,0,RES,6037,CT,0.158536585
MA_DOER_CEC_72438,6/6/2016,6.76,30825.6,0,-9999,0,0,RES,1028,MA,-9999
CA-NEM-620834,1/4/2017,4.16,15000,386.3258699,0,0,0,RES,92083,CA,0.164948454
UT_OED_854,7/1/2013,0.735,4500,71.19513429,-9999,0,0,RES,-9999,UT,-9999
CT_CGB_23198,6/29/2017,5.9,18308.4,0,0,0,0,RES,6053,CT,0.179878049
CA-NEM-650166,9/19/2012,2.55,-9999,-9999,-9999,0,0,RES,92040,CA,0.157407407
IL_DCEO_129,12/16/2012,5.04,54000,668.7102773,-9999,0,0,-9999,60047,IL,0.156424581
NY_NYSERDA_841,3/4/2014,11.03,40150,0,12679,0,0,RES,10952,NY,0.151234568
CA-NEM-658938,8/28/2013,9.81,53500,1175.014829,1726,0,0,RES,92014,CA,0.200613497
OH-Ohio Public Utilities Commission-1996,11/11/2011,34.56,-9999,-9999,-9999,0,0,-9999,43160,OH,-9999
WI_FOE_3386,10/26/2013,5.3,26800,0,2400,0,0,RES,54466,WI,0.154320988
MO-Kansas City Power & Light-278,7/17/2013,24.99,-9999,-9999,-9999,0,0,RES,64440,MO,-9999
CA_LADWP_7888,12/23/2009,5.4,39420,2185.973514,16434.58,0,0,RES,91325,CA,-9999
MA_DOER_CEC_5967,5/7/2013,5.04,26460,0,4000,0,0,RES,1007,MA,0.146341463
MO-Kansas City Power & Light-2356,9/10/2014,2,-9999,-9999,-9999,0,0,RES,64111,MO,-9999
CA-NEM-629119,11/9/2017,7.68,14000,713.2169906,0,0,0,RES,91902,CA,0.16491853
CA_SMUD_19153,11/29/2017,4.02,-9999,-9999,500,0,0,RES,-9999,CA,0.205431486
CA-NEM-697782,8/19/2015,6.89,35277,720.8353073,0,0,0,RES,92027,CA,0.160606061
CA-NEM-674545,12/3/2014,6,-9999,-9999,0,0,0,RES,92065,CA,0.155279503
MA_DOER_CEC_21822,12/4/2017,12.06,38885,0,-9999,0,0,RES,1240,MA,0.195906433
CA-NEM-648433,11/15/2005,15.3,99754.4,6637.782239,38787,0,0,RES,92064,CA,-9999
NY_NYSERDA_3141,10/21/2015,5.23,26363,0,4186,0,0,RES,12550,NY,0.200613497
NY_NYSERDA_3815,6/28/2013,3.92,21959,0,5886,0,0,RES,12571,NY,0.200613497
NY_NYSERDA_56785,8/5/2016,4.03,13782.6,0,1612,0,0,RES,14224,NY,0.18902439
NY_NYSERDA_21213,3/2/2017,3.92,24525,0,2354,0,0,RES,10463,NY,0.200525659
CA_SMUD_6986,1/16/2015,3.85,16362,402.7889598,648,0,0,RES,95662,CA,0.171875
CA-NEM-691989,6/10/2015,3.05,16811,319.0925526,0,0,0,RES,92064,CA,0.18597561
CA-NEM-656962,7/12/2013,7.5,-9999,-9999,0,0,0,RES,92129,CA,0.161290323
CA-NEM-617692,12/1/2016,2,8500,190.1277286,0,0,0,RES,92694,CA,0.201612903
CA-NEM-618549,12/27/2016,5.3,15500,503.8384808,0,0,0,RES,92021,CA,0.164596273
CA_SMUD_13553,7/28/2016,6.24,31948.8,593.1985133,500,0,0,RES,95758,CA,0.163522013
NY_NYSERDA_55161,4/27/2010,7.65,55870,0,27680,0,0,RES,12401,NY,0.181451613
NY_NYSERDA_72894,2/9/2015,8.75,49000,0,2844,0,0,RES,11795,NY,0.161290323
VT_REIP_195,6/21/2007,1.32,11000,0,2310,0,0,RES,5735,VT,-9999
CO-Xcel-4434,6/13/2007,2.58,22099.41,777.9989167,-9999,0,0,-9999,-9999,CO,-9999
MA_DOER_CEC_79829,12/15/2009,2.48,20169,0,-9999,0,0,RES,1201,MA,0.134199134
CA-NEM-679353,9/24/2008,4.44,42674,2400.055388,8114,0,0,RES,92122,CA,0.134057971
NM_REPTC_7253,7/3/2014,7.56,38000,0,-9999,-9999,-9999,RES,87106,NM,-9999
TX_AE_2265,4/24/2013,6.63,23737.12,773.0917202,12663.3,0,0,RES,-9999,TX,-9999
NY_NYSERDA_67979,1/5/2017,13.97,44727.2,0,1871,0,0,RES,11934,NY,0.173780488
NM-PNM-11590,9/1/2017,4.5,-9999,-9999,-9999,0,0,RES,87031,NM,-9999
CA_LADWP_4853,4/17/2009,11.05,90624,4473.149505,33298.2,0,0,RES,91304,CA,-9999
PA_DEP_5727,7/20/2011,100.05,425000,13277.47047,52500,0,0,NON-RES,19006,PA,0.139393939
