,Size,price,CleanPrice,efficiency,CostPerKW,IncentivePct,State,zip,Year,ResidentialRate,SolarRadiation,Month,Date,ConstructionPriceIndex,ROIYears
2759,9.28,34999.0,29271.5558767,0.173508125,3154.2624867133623,0.16364593626389326,TX,-9999,2017,11.01,5.614847826086949,1,2017-01-01,124.5,13.9791143371408
2760,6.84,27360.0,23076.3567453,0.173780488,3373.73636627193,0.15656590843201754,TX,78245,2017,11.01,5.614847826086949,1,2017-01-01,124.5,14.951782423353844
2761,6.1,19260.18,15433.7978284,0.166370339,2530.130791540984,0.19866803797264612,TX,78227,2017,11.01,5.614847826086949,1,2017-01-01,124.5,11.213076835506257
2762,5.57,17605.63,14091.5498204,0.166370339,2529.90122448833,0.1995997973148362,TX,78218,2017,11.01,5.614847826086949,1,2017-01-01,124.5,11.212059436323214
2763,6.24,37650.0,38206.2784343,0.158536585,6122.80103113782,-0.014774991614873837,TX,78247,2017,11.01,5.614847826086949,1,2017-01-01,124.5,27.135134136228004
2764,5.35,21200.0,17957.597439700003,0.167567568,3356.560269102804,0.15294351699528302,TX,78244,2017,11.01,5.614847826086949,1,2017-01-01,124.5,14.875661102695073
2765,8.96,24282.0,18695.9887775,0.171794318,2086.6058903459816,0.2300474105304341,TX,78163,2017,11.01,5.614847826086949,1,2017-01-01,124.5,9.247455606680028
2766,7.36,26014.24,21415.833281500003,0.16491853,2909.759956725544,0.1767649840433547,TX,78245,2017,11.01,5.614847826086949,1,2017-01-01,124.5,12.89552385067457
2767,5.13,20520.0,17288.445058999998,0.173780488,3370.0672629629626,0.15748318425925928,TX,78218,2017,11.01,5.614847826086949,1,2017-01-01,124.5,14.935521628671449
2768,8.96,29000.0,23275.148777500002,0.195121951,2597.672854631696,0.1974086628448276,TX,78259,2017,11.01,5.614847826086949,1,2017-01-01,124.5,11.512410903767414
2769,9.9,37100.0,30988.297131400002,0.168367347,3130.131023373737,0.1647359263773585,TX,78216,2017,11.01,5.614847826086949,1,2017-01-01,124.5,13.872168105947903
2770,3.99,15960.0,13446.5672681,0.173780488,3370.066984486215,0.1574832538784461,TX,78240,2017,11.01,5.614847826086949,1,2017-01-01,124.5,14.935520394513446
2771,1.59,23651.0,23651.0,0.161585366,10000.0,0.0,OR,97123,2017,10.66,4.92776119402985,1,2017-01-01,124.5,77.58051557471907
2772,2.385,27272.5,27272.5,0.161585366,10000.0,0.0,OR,97123,2017,10.66,4.92776119402985,1,2017-01-01,124.5,59.63989150596948
2773,9.9,36923.0,34423.0,0.164670659,3477.0707070707067,0.06770847439265497,NH,3862,2017,19.69,4.182857142857142,1,2017-01-01,124.5,11.566498591355122
2774,8.12,29245.6,29245.6,0.17073170699999998,3601.674876847291,0.0,MA,1826,2017,19.0,4.343846153846154,9,2017-09-01,127.3,11.955936662240545
2775,6.175,27355.25,27355.25,0.194610778,4430.0,0.0,MA,1225,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.705602594559593
2776,9.1,40313.0,40313.0,0.194610778,4430.0,0.0,MA,1062,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.705602594559593
2777,8.55,27310.7,27310.7,0.173780488,3194.2339181286548,0.0,MA,1760,2017,19.0,4.343846153846154,9,2017-09-01,127.3,10.603416386921669
2778,4.32,20993.0,20993.0,0.22085889600000005,4859.490740740741,0.0,MA,1062,2017,19.0,4.343846153846154,9,2017-09-01,127.3,16.131318204351096
2779,6.9,29624.0,29624.0,0.17964071899999998,4293.333333333333,0.0,MA,1007,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.251930881710122
2780,9.0,38520.0,38520.0,0.17964071899999998,4280.0,0.0,MA,2779,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.20767022679798
2781,9.72,55046.9,55046.9,0.22085889600000005,5663.2613168724265,0.0,MA,1507,2017,19.0,4.343846153846154,9,2017-09-01,127.3,18.79947411175353
2782,4.8,20544.0,20544.0,0.17964071899999998,4280.0,0.0,MA,1930,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.20767022679798
2783,12.9,55212.0,55212.0,0.17964071899999998,4280.0,0.0,MA,1462,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.20767022679798
2784,12.0,44817.0,44817.0,0.18404908,3734.75,0.0,MA,1451,2017,19.0,4.343846153846154,9,2017-09-01,127.3,12.397686069984523
2785,9.9,43560.0,43560.0,0.17964071899999998,4400.0,0.0,MA,1542,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.606016121007269
2786,6.0,25680.0,25680.0,0.17964071899999998,4280.0,0.0,MA,2155,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.207670226797982
2787,4.8,20544.0,20544.0,0.17964071899999998,4280.0,0.0,MA,2169,2017,19.0,4.343846153846154,9,2017-09-01,127.3,14.20767022679798
2788,7.26,26532.0,27206.212936400003,0.192982456,3747.412250192837,-0.0254113122418212,CA,92081,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.83647601790146
2789,7.28,24500.0,25176.0702723,0.17073170699999998,3458.2514110302195,-0.02759470499183673,CA,92071,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.077465941123014
2790,6.27,20064.0,20646.2748087,0.192982456,3292.866795645933,-0.029020873639354062,CA,92029,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.643352559849395
2791,4.618758355,25000.0,24273.929288299998,0.157575758,5255.509689529968,0.029042828468,CA,91331,2017,18.15,5.75072289156626,9,2017-09-01,127.3,13.795038168071867
2792,3.510407833,11200.0,10648.0003268,0.165662651,3033.265886288831,0.04928568510714285,CA,91306,2017,18.15,5.75072289156626,9,2017-09-01,127.3,7.961933503543236
2793,7.04,22600.0,23253.7822414,0.195121951,3303.0940683806816,-0.02892841776106195,CA,92129,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.670197837675104
2794,7.05,26620.0,27274.7109093,0.138078826,3868.753320468085,-0.024594699823441014,CA,92069,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.154980748115634
2795,12.48,74880.0,76038.97761,0.154761905,6092.866795673078,-0.015477799278846153,CA,91935,2017,18.15,5.75072289156626,9,2017-09-01,127.3,15.992993061497913
2796,6.27,37933.0,38515.27480869999,0.2,6142.787050829345,-0.015350085906730287,CA,91942,2017,18.15,5.75072289156626,9,2017-09-01,127.3,16.124027321907047
